package_name,weekly_downloads
custom-nmt,7
SR700-Artisan-Profile-Builder,0
gsmo,1
mdbom,61
camembert,8
apscheduler-dramatiq-executor,0
cocapi,39
EditObj2,0
diskcache,566465
adafruit-circuitpython-veml6070,76
sra-downloader,7
fb-cli,1
coc-api-module,2
GSMTC35,0
temple,37
mdb-parser,5233
tracking-challenge-demo,0
pyliturgical,0
django-spectator,37
cameo-claw,6
veriftools,11
custom-operators-ChrisPrein,1
orakwlum,1
tracking-model,4
pyliup,0
sagemaker-data-insights,120
mpserializer,15
fybrik-python-vault,1
django-spectrum,17
python-boilerplate-decaf,1
pvim,5
nirajpdf,0
django-speedinfo,47
cameo-ocean,0
gsn-common,0
verify-B,0
diskhash,185
simplecmd,0
bcdb,16
tracking-plotly,0
jubi,0
gsn-engine,0
adafruit-circuitpython-wiznet5k,348
odoo13-addon-mrp-sale-info,41
fb-duckling,29
bcdc-apitests,34
disk-health-predictor,0
pylivecoding,1
custom-pandas-extensions,5
django-sphinx,191
cameo-sheet,0
cameo-table,0
igviz,53
fbench,3
Orange3-Associate,452
sagemaker-feature-store-pyspark-3.3,91
templer.zope,2
CustomPipeline,1
django-sphinxdoc,145
rbcl,91
customplot,2
mps-motion,24
fyers-token-manager-v2,257
nirjam,0
apsis,1
pvleoparddemo,16
tracking-util,7
cocinero,0
rbco.caseclasses,0
wuzhengyatest,0
MDCLogger,0
Camera-control,3
VerifyOwner,5
odoo13-addon-oca-event-badge,0
wv,1
GSNST-sky,0
diskmap,2
simplecoloredtext,3
fbgemm-gpu-cpu,183
bcdp,11
igwn-accounting,8
wvalidation,0
judge0api,10
mp-starter,1
md-codegen,5
fbi,3
fyle-integrations-platform-connector,66
mps-youtube,144
nirum-http,58
igwn-lldd-common,55
verihubs,4
wvutils,9
simplecompundinterest,0
igym,0
cameras-dashboard,2
tracknodes,0
apt-archive-tools,0
cocktail-model-lib,0
pyllelic,24
veriloghex,3
FCT,2
iliad,0
addana,177
DistanceClassifier,12
simple-framework,0
mds-investment,3
arabic-pronounce,33
wypy,0
nkululeko,199
ssamwaste,0
django-sticky-uploads,109
odoo13-addon-purchase-order-line-sequence,3
simple-frequency-counter,0
distanceKeyMaker,0
simplefsapp-moc,0
distance-map,11
caniform,13
cvevals,69
wyqpython,0
python-codon-tables,751
px4tools,11
edxsdk,0
verylargebits,0
gtkpass,9
Arabic-Stopwords,360
NL4Py,17
px4tuning,0
ssaw,8
edx-search,4517
tencentcloud-sdk-python-iotvideoindustry,2330
SimpleFTPServer,1
CveXplore,10
fc-wxy,0
gadgit,10
tradingfeatures,0
canisius-cyb600-example-okalai,2
tencentcloud-sdk-python-kms,3757
salemGaussianBinomial,0
libsemigroups-python-bindings,0
mrdevtools,1
canisius-cyb600-okalai-Lab1,3
orderly-web,2
PyLoris,1
bdocutils,2
ilionpy,0
tradinghalts,10
odoo13-addon-purchase-order-type,8
veryscrape,0
libsemsim,1
bdot,12
verysimple1,2
rctmodelpool,1
